Institucion,Promedio,Minima,Maxima,Desviación,Moda,Tipo,Familia
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Renta de autos
Pocket,3.5,3.2,3.5,0.02,3.5,Debito,Renta de autos
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Renta de autos
Clip,3.6,2.6,3.6,0.03,3.6,Debito,Renta de autos
EVO,1.55,1.15,3.46,0.15,1.5,Debito,Restaurantes
BBVA Bancomer,1.65,1.15,1.75,0.16,1.75,Debito,Restaurantes
Afirme,1.68,1.2,2.5,0.29,1.8,Debito,Restaurantes
Inbursa,1.75,1.19,2.0,0.22,2.0,Debito,Restaurantes
Multiva,1.78,1.15,2.5,0.32,1.5,Debito,Restaurantes
Getnet,1.78,1.15,3.5,0.37,1.65,Debito,Restaurantes
Banorte,1.8,1.15,2.65,0.33,1.99,Debito,Restaurantes
Smart Payment,1.83,1.45,2.65,0.34,1.7,Debito,Restaurantes
Mifel,1.85,1.15,2.5,0.46,2.5,Debito,Restaurantes
Intercam Banco,1.94,1.19,2.2,0.28,2.2,Debito,Restaurantes
Banregio,2.02,1.15,3.2,0.59,2.55,Debito,Restaurantes
Adyen,2.12,1.75,2.45,0.34,1.75,Debito,Restaurantes
Fiserv,2.17,1.25,3.0,0.28,2.14,Debito,Restaurantes
Autofin,2.25,1.15,2.8,0.4,1.8,Debito,Restaurantes
Bansí,2.3,1.25,2.5,0.45,2.5,Debito,Restaurantes
Bajío,2.32,1.15,4.0,0.55,2.7,Debito,Restaurantes
Banjército,2.35,1.5,5.39,0.79,1.8,Debito,Restaurantes
Bzpay,2.36,1.45,3.1,0.43,2.5,Debito,Restaurantes
Velpay,2.36,2.1,3.2,0.27,2.45,Debito,Restaurantes
Azteca,2.43,1.6,2.5,0.12,2.5,Debito,Restaurantes
Cyborgbeat,2.5,2.5,2.5,0.0,2.5,Debito,Restaurantes
Mercado Pago,2.76,1.25,3.5,0.83,1.69,Debito,Restaurantes
OEL,2.86,1.45,3.6,0.53,2.8,Debito,Restaurantes
EMS,2.91,1.6,3.95,0.86,3.95,Debito,Restaurantes
Espiral,3.27,2.99,3.5,0.25,3.5,Debito,Restaurantes
Pocket,3.38,1.22,3.5,0.41,3.5,Debito,Restaurantes
Paypal,3.5,2.32,3.5,0.0,3.5,Debito,Restaurantes
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Restaurantes
PayU Digicuenta,3.5,3.0,3.5,0.04,3.5,Debito,Restaurantes
Stripe,3.6,2.2,3.6,0.04,3.6,Debito,Restaurantes
Clip,3.6,2.4,3.6,0.01,3.6,Debito,Restaurantes
Banregio,0.81,0.03,1.9,0.6,0.44,Debito,Salones de belleza
EVO,1.5,1.15,2.59,0.18,1.4,Debito,Salones de belleza
Inbursa,1.82,0.0,1.9,0.16,1.9,Debito,Salones de belleza
Mifel,1.86,0.0,2.5,0.45,1.9,Debito,Salones de belleza
Fiserv,1.93,1.19,3.0,0.37,1.85,Debito,Salones de belleza
Getnet,1.98,1.15,3.5,0.59,1.5,Debito,Salones de belleza
Velpay,2.0,2.0,2.0,0.0,2.0,Debito,Salones de belleza
Bzpay,2.14,1.2,3.0,0.64,1.85,Debito,Salones de belleza
Azteca,2.24,0.0,2.5,0.69,2.5,Debito,Salones de belleza
Adyen,2.35,2.35,2.35,0.0,2.35,Debito,Salones de belleza
Bansí,2.5,2.5,2.5,0.0,2.5,Debito,Salones de belleza
Mercado Pago,2.8,1.25,3.5,0.81,1.69,Debito,Salones de belleza
Espiral,3.24,2.99,3.5,0.28,3.5,Debito,Salones de belleza
EMS,3.44,1.95,3.95,0.84,3.95,Debito,Salones de belleza
Pocket,3.47,1.24,3.5,0.22,3.5,Debito,Salones de belleza
PayU Digicuenta,3.48,2.1,3.5,0.12,3.5,Debito,Salones de belleza
Paypal,3.5,3.42,3.5,0.0,3.5,Debito,Salones de belleza
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Salones de belleza
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Salones de belleza
Stripe,3.59,1.2,3.6,0.17,3.6,Debito,Salones de belleza
Clip,3.6,3.0,3.6,0.0,3.6,Debito,Salones de belleza
BBVA Bancomer,1.45,1.1,1.7,0.21,1.7,Debito,Supermercados
Afirme,1.51,1.2,2.9,0.23,1.55,Debito,Supermercados
Banorte,1.55,1.1,2.5,0.33,1.35,Debito,Supermercados
EVO,1.57,1.16,3.46,0.32,1.6,Debito,Supermercados
Mifel,1.62,1.2,2.5,0.4,1.5,Debito,Supermercados
Banregio,1.75,1.15,2.96,0.58,2.5,Debito,Supermercados
Getnet,1.78,1.15,3.5,0.46,2.28,Debito,Supermercados
Inbursa,1.79,1.18,1.8,0.06,1.8,Debito,Supermercados
Multiva,1.85,1.2,2.4,0.41,2.4,Debito,Supermercados
Azteca,1.95,1.15,2.5,0.16,1.95,Debito,Supermercados
Fiserv,1.95,1.29,2.95,0.53,1.35,Debito,Supermercados
Bajío,2.08,1.1,3.4,0.49,2.4,Debito,Supermercados
Adyen,2.08,1.75,2.27,0.29,2.23,Debito,Supermercados
Banjército,2.09,1.5,3.5,0.48,1.8,Debito,Supermercados
Bzpay,2.25,1.66,2.6,0.4,2.45,Debito,Supermercados
EMS,2.43,1.35,3.0,0.66,2.9,Debito,Supermercados
Mercado Pago,2.79,1.25,3.5,0.81,1.69,Debito,Supermercados
Velpay,3.0,3.0,3.0,0.0,3.0,Debito,Supermercados
Paypal,3.05,1.74,3.65,0.66,3.42,Debito,Supermercados
Espiral,3.37,2.99,3.5,0.25,3.5,Debito,Supermercados
Pocket,3.42,1.27,3.5,0.34,3.5,Debito,Supermercados
PayU Digicuenta,3.44,1.99,3.5,0.22,3.5,Debito,Supermercados
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Supermercados
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Supermercados
Clip,3.6,2.4,3.6,0.01,3.6,Debito,Supermercados
BBVA Bancomer,1.32,1.15,1.75,0.19,1.2,Debito,Telecomunicaciones
Azteca,1.35,1.23,2.5,0.25,1.28,Debito,Telecomunicaciones
Banorte,1.39,1.2,2.33,0.26,1.25,Debito,Telecomunicaciones
Getnet,1.55,1.18,3.5,0.17,1.5,Debito,Telecomunicaciones
EVO,1.57,1.16,1.95,0.06,1.57,Debito,Telecomunicaciones
Afirme,1.61,1.5,1.9,0.16,1.5,Debito,Telecomunicaciones
Bzpay,1.62,1.62,1.62,0.0,1.62,Debito,Telecomunicaciones
Inbursa,1.7,1.22,1.86,0.03,1.7,Debito,Telecomunicaciones
Banregio,1.79,1.25,2.7,0.49,1.3,Debito,Telecomunicaciones
Mifel,1.87,1.55,2.5,0.55,1.55,Debito,Telecomunicaciones
Fiserv,1.89,1.15,2.69,0.6,1.15,Debito,Telecomunicaciones
Autofin,2.1,2.1,2.1,0.0,2.1,Debito,Telecomunicaciones
Adyen,2.2,2.05,2.35,0.21,2.35,Debito,Telecomunicaciones
Bajío,2.53,1.6,3.0,0.31,2.4,Debito,Telecomunicaciones
Espiral,3.17,2.99,3.5,0.25,2.99,Debito,Telecomunicaciones
Paypal,3.18,2.43,3.65,0.46,3.42,Debito,Telecomunicaciones
EMS,3.2,3.2,3.2,0.0,3.2,Debito,Telecomunicaciones
PayU Digicuenta,3.48,2.25,3.5,0.11,3.5,Debito,Telecomunicaciones
Pocket,3.48,1.75,3.5,0.14,3.5,Debito,Telecomunicaciones
OEL,3.5,3.5,3.5,0.0,3.5,Debito,Telecomunicaciones
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Telecomunicaciones
Stripe,3.58,2.19,3.6,0.17,3.6,Debito,Telecomunicaciones
Inbursa,1.02,1.0,1.05,0.02,1.0,Debito,Transporte aéreo
Mifel,1.05,1.05,1.05,0.0,1.05,Debito,Transporte aéreo
Intercam Banco,1.2,1.2,1.2,0.0,1.2,Debito,Transporte aéreo
BBVA Bancomer,1.26,0.75,1.35,0.16,1.35,Debito,Transporte aéreo
EVO,1.39,1.15,2.09,0.25,1.15,Debito,Transporte aéreo
Getnet,1.4,1.15,3.5,0.34,1.17,Debito,Transporte aéreo
Banorte,1.42,0.84,1.9,0.29,1.45,Debito,Transporte aéreo
Multiva,1.77,1.77,1.77,0.0,1.77,Debito,Transporte aéreo
Afirme,1.85,1.3,2.3,0.24,1.8,Debito,Transporte aéreo
Banregio,1.9,0.85,2.71,0.61,2.3,Debito,Transporte aéreo
Adyen,2.12,1.95,2.3,0.25,1.95,Debito,Transporte aéreo
Bzpay,2.13,1.66,2.6,0.54,2.6,Debito,Transporte aéreo
Fiserv,2.26,2.21,2.31,0.05,2.21,Debito,Transporte aéreo
Bajío,2.33,1.2,2.9,0.44,2.4,Debito,Transporte aéreo
Azteca,2.48,2.4,2.5,0.05,2.5,Debito,Transporte aéreo
Paypal,3.03,1.74,3.65,0.69,3.65,Debito,Transporte aéreo
EMS,3.05,2.9,3.2,0.21,3.2,Debito,Transporte aéreo
Espiral,3.24,2.99,3.5,0.26,2.99,Debito,Transporte aéreo
Pocket,3.39,1.77,3.5,0.4,3.5,Debito,Transporte aéreo
PayU Digicuenta,3.46,2.6,3.5,0.16,3.5,Debito,Transporte aéreo
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Transporte aéreo
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Transporte aéreo
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Transporte aéreo
EVO,1.57,1.15,3.5,0.2,1.6,Debito,Ventas al detalle (Retail)
BBVA Bancomer,1.59,1.15,1.75,0.2,1.75,Debito,Ventas al detalle (Retail)
Getnet,1.73,1.15,3.5,0.43,1.6,Debito,Ventas al detalle (Retail)
Afirme,1.77,1.15,3.15,0.27,1.8,Debito,Ventas al detalle (Retail)
Banorte,1.79,1.15,2.65,0.37,2.0,Debito,Ventas al detalle (Retail)
Mifel,1.85,1.15,2.5,0.46,2.5,Debito,Ventas al detalle (Retail)
Autofin,1.89,1.15,2.64,0.44,1.25,Debito,Ventas al detalle (Retail)
Fiserv,1.89,1.15,3.0,0.47,2.25,Debito,Ventas al detalle (Retail)
Smart Payment,1.89,1.5,2.25,0.31,1.5,Debito,Ventas al detalle (Retail)
Multiva,1.93,1.15,2.64,0.42,2.5,Debito,Ventas al detalle (Retail)
Intercam Banco,1.99,1.17,2.9,0.49,2.5,Debito,Ventas al detalle (Retail)
Banregio,2.06,1.15,2.99,0.57,2.55,Debito,Ventas al detalle (Retail)
Inbursa,2.17,1.15,2.45,0.36,2.45,Debito,Ventas al detalle (Retail)
Adyen,2.17,1.3,2.55,0.32,2.5,Debito,Ventas al detalle (Retail)
Azteca,2.26,1.15,2.4,0.31,2.4,Debito,Ventas al detalle (Retail)
Ebanx,2.3,2.3,2.3,0.0,2.3,Debito,Ventas al detalle (Retail)
Bzpay,2.35,1.25,2.95,0.4,2.6,Debito,Ventas al detalle (Retail)
Bansí,2.39,1.27,2.5,0.3,2.5,Debito,Ventas al detalle (Retail)
Bajío,2.41,1.15,4.0,0.59,2.7,Debito,Ventas al detalle (Retail)
Velpay,2.41,1.43,3.0,0.38,2.3,Debito,Ventas al detalle (Retail)
Dlocal,2.43,1.39,3.4,0.64,2.05,Debito,Ventas al detalle (Retail)
Paypal,2.67,1.4,3.83,0.94,3.5,Debito,Ventas al detalle (Retail)
Cyborgbeat,2.88,2.5,3.6,0.22,2.9,Debito,Ventas al detalle (Retail)
Xaldo,2.9,2.9,2.9,0.0,2.9,Debito,Ventas al detalle (Retail)
EMS,2.9,1.2,3.95,0.81,3.95,Debito,Ventas al detalle (Retail)
Mercado Pago,2.98,1.2,3.79,0.7,3.5,Debito,Ventas al detalle (Retail)
OEL,3.08,1.5,3.6,0.64,3.6,Debito,Ventas al detalle (Retail)
Espiral,3.25,2.99,3.5,0.26,3.5,Debito,Ventas al detalle (Retail)
Pocket,3.38,1.15,3.5,0.44,3.5,Debito,Ventas al detalle (Retail)
Pago Fácil,3.4,2.5,3.5,0.28,3.5,Debito,Ventas al detalle (Retail)
PayU Digicuenta,3.46,1.91,3.5,0.16,3.5,Debito,Ventas al detalle (Retail)
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Ventas al detalle (Retail)
