Institucion,Promedio,Minima,Maxima,Desviación,Moda,Tipo,Familia
Pocket,3.46,1.79,3.5,0.21,3.5,Credito,Entretenimiento
PayU Digicuenta,3.47,1.8,3.5,0.16,3.5,Credito,Entretenimiento
Cyborgbeat,3.5,3.5,3.5,0.0,3.5,Credito,Entretenimiento
Paypal,3.5,2.3,3.65,0.07,3.5,Credito,Entretenimiento
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Entretenimiento
Stripe,3.58,2.0,3.6,0.15,3.6,Credito,Entretenimiento
Clip,3.6,2.8,3.6,0.01,3.6,Credito,Entretenimiento
Banregio,1.77,1.33,2.51,0.46,1.45,Credito,Estacionamientos
BBVA Bancomer,1.85,1.35,1.92,0.17,1.92,Credito,Estacionamientos
Afirme,1.85,1.3,2.4,0.78,2.4,Credito,Estacionamientos
Banorte,1.86,1.3,2.37,0.26,2.17,Credito,Estacionamientos
Multiva,1.91,1.2,1.95,0.17,1.95,Credito,Estacionamientos
EVO,1.98,1.8,2.5,0.21,1.8,Credito,Estacionamientos
Inbursa,2.02,1.57,2.2,0.26,2.2,Credito,Estacionamientos
EMS,2.23,2.23,2.23,0.0,2.23,Credito,Estacionamientos
Getnet,2.32,1.8,3.5,0.39,2.3,Credito,Estacionamientos
Bajío,2.45,1.6,2.9,0.39,2.6,Credito,Estacionamientos
Mifel,2.5,2.5,2.5,0.0,2.5,Credito,Estacionamientos
Azteca,2.5,2.5,2.5,0.0,2.5,Credito,Estacionamientos
Fiserv,2.57,2.3,2.81,0.22,2.3,Credito,Estacionamientos
PayU Digicuenta,2.86,2.2,3.5,0.53,3.5,Credito,Estacionamientos
OEL,3.3,3.0,3.5,0.27,3.5,Credito,Estacionamientos
Pocket,3.5,3.5,3.5,0.0,3.5,Credito,Estacionamientos
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Estacionamientos
Clip,3.6,3.6,3.6,0.0,3.6,Credito,Estacionamientos
Adyen,1.78,1.78,1.78,0.0,1.78,Credito,Farmacias
BBVA Bancomer,1.93,1.3,2.23,0.27,2.23,Credito,Farmacias
Banorte,1.93,1.3,2.53,0.31,1.77,Credito,Farmacias
Banregio,1.95,1.32,2.62,0.5,2.62,Credito,Farmacias
Multiva,1.95,1.3,2.77,0.34,1.88,Credito,Farmacias
Mifel,2.0,1.38,2.8,0.4,2.5,Credito,Farmacias
Getnet,2.08,1.35,3.5,0.34,1.89,Credito,Farmacias
Afirme,2.09,1.3,3.9,0.33,2.4,Credito,Farmacias
Inbursa,2.11,1.35,2.4,0.31,2.4,Credito,Farmacias
Autofin,2.23,1.98,2.6,0.17,2.35,Credito,Farmacias
EVO,2.24,1.78,3.0,0.18,2.23,Credito,Farmacias
Intercam Banco,2.36,1.61,2.95,0.34,2.3,Credito,Farmacias
Fiserv,2.38,1.85,2.86,0.25,2.48,Credito,Farmacias
Azteca,2.43,1.53,2.5,0.22,2.5,Credito,Farmacias
Bajío,2.47,1.3,4.0,0.54,2.9,Credito,Farmacias
Bzpay,2.49,2.3,2.5,0.05,2.5,Credito,Farmacias
Pago Fácil,2.9,2.9,2.9,0.0,2.9,Credito,Farmacias
Velpay,3.0,3.0,3.0,0.0,3.0,Credito,Farmacias
EMS,3.13,2.0,3.95,0.58,3.95,Credito,Farmacias
Paypal,3.31,2.84,3.65,0.31,3.42,Credito,Farmacias
Espiral,3.32,2.99,3.5,0.25,3.5,Credito,Farmacias
PayU Digicuenta,3.44,2.3,3.5,0.2,3.5,Credito,Farmacias
Pocket,3.48,1.86,3.5,0.16,3.5,Credito,Farmacias
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Farmacias
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Farmacias
Clip,3.6,3.2,3.6,0.0,3.6,Credito,Farmacias
Afirme,1.13,1.01,1.25,0.07,1.09,Credito,Gasolineras
Banorte,1.15,1.0,1.25,0.07,1.15,Credito,Gasolineras
Mifel,1.21,1.0,2.5,0.25,1.0,Credito,Gasolineras
BBVA Bancomer,1.22,1.0,1.25,0.06,1.25,Credito,Gasolineras
Inbursa,1.25,1.0,1.6,0.04,1.25,Credito,Gasolineras
Autofin,1.25,1.25,1.25,0.0,1.25,Credito,Gasolineras
Multiva,1.26,1.0,2.0,0.25,1.1,Credito,Gasolineras
Bajío,1.39,1.0,3.8,0.39,1.1,Credito,Gasolineras
Banregio,1.41,1.0,2.3,0.45,1.1,Credito,Gasolineras
Intercam Banco,1.45,1.1,1.7,0.22,1.6,Credito,Gasolineras
Fiserv,2.0,1.8,3.0,0.29,1.85,Credito,Gasolineras
Getnet,2.05,1.76,3.5,0.3,1.8,Credito,Gasolineras
EVO,2.08,2.08,2.08,0.0,2.08,Credito,Gasolineras
Bzpay,2.12,2.1,2.15,0.03,2.1,Credito,Gasolineras
Azteca,2.15,1.25,2.5,0.42,2.5,Credito,Gasolineras
Smart Payment,2.2,2.2,2.2,0.0,2.2,Credito,Gasolineras
EMS,2.36,1.2,3.95,0.88,1.85,Credito,Gasolineras
Pocket,3.36,1.8,3.5,0.47,3.5,Credito,Gasolineras
PayU Digicuenta,3.5,3.5,3.5,0.0,3.5,Credito,Gasolineras
Clip,3.6,3.6,3.6,0.0,3.6,Credito,Gasolineras
Multiva,1.37,1.3,1.4,0.06,1.4,Credito,Gobierno
Bajío,1.53,1.05,2.5,0.32,1.3,Credito,Gobierno
Banorte,1.54,1.03,2.25,0.27,1.28,Credito,Gobierno
Mifel,1.63,1.06,2.5,0.36,1.7,Credito,Gobierno
BBVA Bancomer,1.67,1.03,1.85,0.23,1.85,Credito,Gobierno
Banregio,1.76,1.03,2.71,0.54,2.01,Credito,Gobierno
EVO,1.81,1.8,2.7,0.06,1.8,Credito,Gobierno
Afirme,1.87,1.17,2.65,0.28,2.0,Credito,Gobierno
Getnet,1.99,1.16,3.5,0.28,1.76,Credito,Gobierno
Paypal,2.02,1.97,2.2,0.1,1.97,Credito,Gobierno
Fiserv,2.04,1.79,2.5,0.23,1.8,Credito,Gobierno
Azteca,2.05,1.48,2.5,0.32,2.5,Credito,Gobierno
Inbursa,2.07,1.91,2.15,0.11,2.15,Credito,Gobierno
Xaldo,2.55,2.35,2.7,0.18,2.7,Credito,Gobierno
Velpay,3.0,3.0,3.0,0.0,3.0,Credito,Gobierno
Espiral,3.26,2.99,3.5,0.26,3.5,Credito,Gobierno
PayU Digicuenta,3.49,2.87,3.5,0.08,3.5,Credito,Gobierno
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Gobierno
Pocket,3.5,3.5,3.5,0.0,3.5,Credito,Gobierno
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Gobierno
Azteca,1.82,1.53,2.5,0.38,1.53,Credito,Hospitales
Autofin,1.9,1.9,1.9,0.0,1.9,Credito,Hospitales
Banjército,1.94,1.8,2.0,0.09,2.0,Credito,Hospitales
Bzpay,1.95,1.95,1.95,0.0,1.95,Credito,Hospitales
Mifel,2.02,1.54,2.75,0.31,2.5,Credito,Hospitales
EVO,2.04,1.78,2.7,0.17,1.95,Credito,Hospitales
Bansí,2.07,1.85,2.5,0.38,1.85,Credito,Hospitales
Banorte,2.11,1.53,2.64,0.29,1.9,Credito,Hospitales
Multiva,2.11,1.6,2.97,0.36,1.95,Credito,Hospitales
Afirme,2.15,1.7,3.6,0.45,1.8,Credito,Hospitales
Getnet,2.15,1.77,3.5,0.3,2.08,Credito,Hospitales
Banregio,2.2,1.53,2.83,0.47,2.83,Credito,Hospitales
Intercam Banco,2.25,1.94,2.75,0.27,2.2,Credito,Hospitales
BBVA Bancomer,2.26,1.53,2.44,0.2,2.25,Credito,Hospitales
Inbursa,2.31,1.59,2.44,0.22,2.44,Credito,Hospitales
Fiserv,2.35,1.8,3.0,0.29,2.43,Credito,Hospitales
Bajío,2.37,1.55,4.0,0.5,2.6,Credito,Hospitales
Pocket,3.43,1.8,3.5,0.29,3.5,Credito,Hospitales
PayU Digicuenta,3.49,2.87,3.5,0.1,3.5,Credito,Hospitales
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Hospitales
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Hospitales
Clip,3.6,3.6,3.6,0.0,3.6,Credito,Hospitales
EMS,3.95,3.95,3.95,0.0,3.95,Credito,Hospitales
Multiva,1.96,1.67,2.82,0.34,1.67,Credito,Hoteles
EVO,2.06,1.78,2.8,0.15,2.0,Credito,Hoteles
Afirme,2.07,1.58,3.9,0.34,2.3,Credito,Hoteles
Banjército,2.09,1.75,2.81,0.42,1.8,Credito,Hoteles
Banorte,2.12,1.58,2.8,0.33,2.0,Credito,Hoteles
Mifel,2.14,1.59,2.8,0.33,2.5,Credito,Hoteles
Getnet,2.16,1.7,3.5,0.29,2.11,Credito,Hoteles
BBVA Bancomer,2.22,1.58,2.4,0.23,2.4,Credito,Hoteles
Fiserv,2.3,1.79,3.0,0.22,2.4,Credito,Hoteles
Banregio,2.31,1.58,3.15,0.61,3.15,Credito,Hoteles
Inbursa,2.34,1.61,2.4,0.13,2.4,Credito,Hoteles
Bajío,2.36,1.59,4.0,0.45,2.6,Credito,Hoteles
EMS,2.37,2.05,3.0,0.55,2.05,Credito,Hoteles
Intercam Banco,2.38,1.58,3.0,0.46,2.5,Credito,Hoteles
Azteca,2.44,2.0,2.5,0.14,2.5,Credito,Hoteles
Bansí,2.5,2.5,2.5,0.0,2.5,Credito,Hoteles
Smart Payment,2.59,2.3,2.65,0.14,2.65,Credito,Hoteles
Autofin,2.6,2.2,3.01,0.57,3.01,Credito,Hoteles
Bzpay,2.68,1.9,3.3,0.6,3.3,Credito,Hoteles
Mercado Pago,3.21,1.82,3.5,0.29,2.99,Credito,Hoteles
Espiral,3.26,2.99,3.5,0.26,3.5,Credito,Hoteles
PayU Digicuenta,3.32,2.3,3.5,0.4,3.5,Credito,Hoteles
Paypal,3.4,2.4,3.65,0.3,3.5,Credito,Hoteles
Pocket,3.44,1.79,3.5,0.25,3.5,Credito,Hoteles
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Hoteles
Stripe,3.58,1.78,3.6,0.17,3.6,Credito,Hoteles
Clip,3.6,2.8,3.6,0.01,3.6,Credito,Hoteles
Banorte,0.94,0.11,2.11,0.42,0.75,Credito,Misceláneas
Banregio,1.07,0.0,2.35,0.77,2.35,Credito,Misceláneas
Multiva,1.12,0.7,2.0,0.34,0.98,Credito,Misceláneas
Afirme,1.16,0.4,1.82,0.47,1.7,Credito,Misceláneas
Mifel,1.44,0.0,2.8,0.77,2.5,Credito,Misceláneas
Azteca,1.51,0.0,2.5,0.61,1.15,Credito,Misceláneas
Bajío,1.59,0.0,2.35,0.53,1.55,Credito,Misceláneas
Bansí,1.68,1.15,2.5,0.18,1.65,Credito,Misceláneas
Autofin,1.78,0.0,1.87,0.41,1.87,Credito,Misceláneas
Adyen,1.95,1.95,1.95,0.0,1.95,Credito,Misceláneas
