Familia,Tipo,Institucion,Promedio,Minima,Maxima,Desviación,Moda
Beneficencia,Debito,Multiva,0.0,0.0,0.0,0.0,0.0
Beneficencia,Debito,Banregio,0.18,0.0,0.8,0.21,0.0
Beneficencia,Debito,Afirme,0.28,0.0,1.0,0.39,0.0
Beneficencia,Debito,Azteca,0.35,0.0,1.05,0.52,0.0
Beneficencia,Debito,Inbursa,0.74,0.1,1.57,0.53,0.36
Beneficencia,Debito,Banorte,0.74,0.0,2.5,0.55,0.0
Beneficencia,Debito,Mifel,1.12,0.0,2.5,0.91,1.85
Beneficencia,Debito,Bajío,1.21,0.01,2.0,0.71,1.2
Beneficencia,Debito,EVO,1.36,1.3,1.89,0.18,1.3
Beneficencia,Debito,Fiserv,1.5,1.2,2.35,0.24,1.5
Beneficencia,Debito,Getnet,1.54,1.15,3.5,0.56,1.18
Beneficencia,Debito,Bzpay,2.8,2.8,2.8,0.0,2.8
Beneficencia,Debito,Velpay,3.0,3.0,3.0,0.0,3.0
Beneficencia,Debito,Espiral,3.33,2.99,3.5,0.29,3.5
Beneficencia,Debito,PayU Digicuenta,3.46,2.2,3.5,0.19,3.5
Beneficencia,Debito,Paypal,3.47,2.07,3.65,0.09,3.5
Beneficencia,Debito,Pocket,3.48,1.69,3.5,0.17,3.5
Beneficencia,Debito,Stripe,3.6,2.75,3.6,0.03,3.6
Beneficencia,Debito,Clip,3.6,3.6,3.6,0.0,3.6
Colegios y universidades,Credito,Intercam Banco,1.3,1.3,1.3,0.0,1.3
Colegios y universidades,Credito,Multiva,1.68,1.15,2.38,0.42,1.85
Colegios y universidades,Credito,BBVA Bancomer,1.69,1.17,1.85,0.21,1.85
Colegios y universidades,Credito,Inbursa,1.71,1.21,1.8,0.14,1.8
Colegios y universidades,Credito,Banorte,1.74,1.12,2.25,0.29,1.55
Colegios y universidades,Credito,Mifel,1.8,1.15,2.8,0.4,1.75
Colegios y universidades,Credito,EVO,1.83,1.8,2.25,0.09,1.8
Colegios y universidades,Credito,Banregio,1.94,1.22,2.76,0.63,2.76
Colegios y universidades,Credito,Afirme,1.94,1.25,2.65,0.42,2.4
Colegios y universidades,Credito,Autofin,2.0,2.0,2.0,0.0,2.0
Colegios y universidades,Credito,Getnet,2.04,1.25,3.5,0.27,1.85
Colegios y universidades,Credito,Bajío,2.11,1.15,4.0,0.62,2.4
Colegios y universidades,Credito,Fiserv,2.12,1.77,2.9,0.2,2.1
Colegios y universidades,Credito,Azteca,2.32,1.54,2.5,0.32,2.5
Colegios y universidades,Credito,Bansí,2.33,2.0,2.5,0.29,2.5
Colegios y universidades,Credito,Velpay,2.34,2.34,2.34,0.0,2.34
Colegios y universidades,Credito,Pago Fácil,3.0,2.5,3.5,0.5,3.5
Colegios y universidades,Credito,Paypal,3.01,1.97,3.65,0.81,3.42
Colegios y universidades,Credito,Espiral,3.24,2.99,3.5,0.27,2.99
Colegios y universidades,Credito,OEL,3.4,3.4,3.4,0.0,3.4
Colegios y universidades,Credito,PayU Digicuenta,3.45,2.0,3.5,0.2,3.5
Colegios y universidades,Credito,Pocket,3.48,1.9,3.5,0.17,3.5
Colegios y universidades,Credito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Colegios y universidades,Credito,Stripe,3.59,1.79,3.6,0.13,3.6
Colegios y universidades,Credito,Clip,3.6,3.0,3.6,0.0,3.6
Colegios y universidades,Debito,Intercam Banco,1.2,1.2,1.2,0.0,1.2
Colegios y universidades,Debito,Inbursa,1.21,0.82,1.35,0.15,1.35
Colegios y universidades,Debito,Afirme,1.24,0.85,1.65,0.24,1.1
Colegios y universidades,Debito,BBVA Bancomer,1.28,0.75,1.35,0.13,1.35
Colegios y universidades,Debito,Banorte,1.31,0.75,1.95,0.28,1.6
Colegios y universidades,Debito,EVO,1.32,1.15,2.0,0.11,1.3
Colegios y universidades,Debito,Multiva,1.4,0.75,1.98,0.41,1.58
Colegios y universidades,Debito,Getnet,1.49,1.15,3.5,0.32,1.42
Colegios y universidades,Debito,Mifel,1.55,0.95,2.5,0.44,1.4
Colegios y universidades,Debito,Velpay,1.57,1.25,2.34,0.32,1.5
Colegios y universidades,Debito,Banregio,1.58,0.85,2.76,0.59,2.15
Colegios y universidades,Debito,Fiserv,1.73,1.2,2.9,0.34,1.75
Colegios y universidades,Debito,Autofin,1.8,1.8,1.8,0.0,1.8
Colegios y universidades,Debito,Bajío,1.92,0.75,4.0,0.67,2.5
Colegios y universidades,Debito,Bansí,2.0,1.5,2.5,0.71,2.5
Colegios y universidades,Debito,Azteca,2.23,1.07,2.5,0.38,2.4
Colegios y universidades,Debito,Pago Fácil,3.0,2.5,3.5,0.5,3.5
Colegios y universidades,Debito,Paypal,3.01,1.97,3.65,0.81,3.42
Colegios y universidades,Debito,Espiral,3.24,2.99,3.5,0.27,2.99
Colegios y universidades,Debito,OEL,3.4,3.4,3.4,0.0,3.4
Colegios y universidades,Debito,PayU Digicuenta,3.47,2.2,3.5,0.16,3.5
Colegios y universidades,Debito,Pocket,3.48,1.9,3.5,0.17,3.5
Colegios y universidades,Debito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Colegios y universidades,Debito,Stripe,3.59,1.79,3.6,0.13,3.6
Colegios y universidades,Debito,Clip,3.6,3.0,3.6,0.0,3.6
Comida rápida,Credito,Afirme,1.91,1.2,2.65,0.38,1.9
