Title,Link,Description,Type,Download,Card,File_name
Otros,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B42C49153-FEE1-B155-7486-1816C0D79D30%7D.pdf,Otros. Otros. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banregio 2.20% 1.53% 2.75% 0.48% 2.75% Inbursa 2.50% 1.53% 2.79% 0.31% 2.79% OEL (12) 3.11% 2.99% 3.50% 0.21% 3.00% 1 .........1 Adyen ofrece una plataforma de pagos e......,pdf,1,Credito,Descuento Credito Otros.pdf
Otros,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B371099DF-5771-421F-F35E-2B152FCE9AD4%7D.pdf,Otros. Otros. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Autofin 1.91% 1.15% 2.90% 0.49% 1.70% Bzpay (5) 2.31% 1.50% 2.95% 0.38% 2.70% EMS (12) 2.99% 1.55% 3.95% 0.63% 3.95% 1 .........1 EVO México ofrece servicios de pago ......,pdf,1,Debito,Descuento Debito Otros.pdf
Peaje,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B7A7418FD-CAE3-610D-A49B-0F19CD3A1E5B%7D.pdf,Peaje. Peaje. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Inbursa 1.51% 1.50% 2.45% 0.09% 1.50% Afirme 1.98% 1.30% 2.00% 0.12% 2.00% Bzpay (4) 3.30% 3.30% 3.30% - 3.30% 5 PayU Digicuenta permite aceptar pagos en línea......,pdf,1,Credito,Descuento Credito Peaje.pdf
Peaje,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B2C62423B-79C1-B927-2F66-C6B744ED8F92%7D.pdf,Peaje. Peaje. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Inbursa 1.25% 1.25% 1.75% 0.04% 1.25% Getnet (2) 1.71% 1.20% 2.35% 0.31% 1.98% Bzpay (4) 2.80% 2.80% 2.80% - 2.80% 5 PayU Digicuenta permite aceptar pagos en lín......,pdf,1,Debito,Descuento Debito Peaje.pdf
Refacciones y ferreterías,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B795CD529-F01B-3BA0-275A-CBD67E2CDAE0%7D.pdf,Refacciones y ferreterías. Refacciones y ferreterías. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Mifel 1.18% - 2.80% 0.74% 1.10% Fiserv (5) 2.24% 1.78% 3.00% 0.40% 1.80% Mercado Pago (9) 3.22% 1.69% 3.50% 0.30% 2.99% ......,pdf,1,Credito,Descuento Credito Refacciones y ferreterías.pdf
Refacciones y ferreterías,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B23E75819-6506-48EB-6A59-1E19834AF1A7%7D.pdf,Refacciones y ferreterías. Refacciones y ferreterías. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Bzpay (2) 1.47% 1.15% 2.29% 0.38% 1.19% Bansí 2.50% 2.50% 2.50% - 2.50% PayU Digicuenta (13) 3.45% 2.70% 3.50% 0.16% 3.50......,pdf,1,Debito,Descuento Debito Refacciones y ferreterías.pdf
Renta de autos,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B9D8EDAFE-F244-30B9-35C4-FD88F42325F9%7D.pdf,Renta de autos. Renta de autos. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Getnet (2) 2.02% 1.63% 3.50% 0.25% 1.80% Banregio 2.26% 1.58% 3.00% 0.58% 3.00% Cyborgbeat (6) 2.80% 2.80% 2.80% - 2.80% Clip(13) 3.60% 2.6......,pdf,1,Credito,Descuento Credito Renta de autos.pdf
Renta de autos,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B73DB72EB-2764-0D46-1342-E4BDDCD92E7E%7D.pdf,Renta de autos. Renta de autos. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio BBVA Bancomer 1.62% 1.10% 1.70% 0.12% 1.70% Banregio 1.96% 1.10% 3.00% 0.53% 2.50% EMS (6) 3.00% 3.00% 3.00% - 3.00% 1 .........1 EVO México ofrece ser......,pdf,1,Debito,Descuento Debito Renta de autos.pdf
Restaurantes,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B178DFF29-DA8F-E376-78AC-9B52D36C799F%7D.pdf,Restaurantes. Restaurantes. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Getnet (2) 2.21% 1.76% 3.50% 0.32% 2.00% Azteca 2.48% 1.90% 2.60% 0.11% 2.50% Autofin 2.59% 1.76% 3.31% 0.31% 2.60% PayU Digicuenta (16) 3.50% 3.0......,pdf,1,Credito,Descuento Credito Restaurantes.pdf
Restaurantes,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7BD55B5289-0474-B33F-EA53-212B9EDAAE2D%7D.pdf,Restaurantes. Restaurantes. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Multiva 1.78% 1.15% 2.50% 0.32% 1.50% Fiserv (5) 2.17% 1.25% 3.00% 0.28% 2.14% Cyborgbeat (8) 2.50% 2.50% 2.50% - 2.50% PayU Digicuenta (16) 3.50% ......,pdf,1,Debito,Descuento Debito Restaurantes.pdf
Salones de belleza,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B8509E2D1-19E9-E04F-F0E7-6B6210DF341A%7D.pdf,Salones de belleza. Salones de belleza. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Afirme 1.38% - 1.80% 0.43% 1.70% Adyen (3) 2.26% 2.26% 2.26% - 2.26% Mercado Pago (7) 3.22% 1.69% 3.50% 0.30% 2.99% Stripe (14) 3.6......,pdf,1,Credito,Descuento Credito Salones de belleza.pdf
Salones de belleza,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B6CFA9F43-B6E6-2382-3781-A545E10A2FE0%7D.pdf,Salones de belleza. Salones de belleza. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Inbursa 1.82% - 1.90% 0.16% 1.90% Azteca 2.24% - 2.50% 0.69% 2.50% Pocket (10) 3.47% 1.24% 3.50% 0.22% 3.50% Clip (16) 3.60% ......,pdf,1,Debito,Descuento Debito Salones de belleza.pdf
Supermercados,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B71317A73-BF60-CB16-339E-3C0FA28AABB7%7D.pdf,Supermercados. Supermercados. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Multiva 2.08% 1.65% 2.75% 0.42% 2.60% Fiserv (3) 2.31% 1.79% 2.95% 0.45% 1.79% Mercado Pago (8) 3.23% 1.69% 3.50% 0.27% 2.99% Clip(15) 3.60% 2......,pdf,1,Credito,Descuento Credito Supermercados.pdf
Supermercados,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B8600BB58-B3B2-9296-D673-92519233AA48%7D.pdf,Supermercados. Supermercados. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio EVO (1) 1.57% 1.16% 3.46% 0.32% 1.60% Fiserv (3) 1.95% 1.29% 2.95% 0.53% 1.35% Velpay (8) 3.00% 3.00% 3.00% - 3.00% Clip(15) 3.60% 2.40% ......,pdf,1,Debito,Descuento Debito Supermercados.pdf
Telecomunicaciones,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B3839CF8E-FB8B-FCB4-70BF-EBAA77F0721F%7D.pdf,Telecomunicaciones. Telecomunicaciones. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio BBVA Bancomer 1.85% 1.45% 2.26% 0.24% 1.70% Afirme 2.07% 1.95% 2.40% 0.18% 1.95% Multiva 2.80% 2.80% 2.80% - 2.80% OEL (11) 3.50% 3......,pdf,1,Credito,Descuento Credito Telecomunicaciones.pdf
Telecomunicaciones,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7BC94D0334-B3A5-92CB-759E-CB5A8CF1D828%7D.pdf,Telecomunicaciones. Telecomunicaciones. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banorte 1.39% 1.20% 2.33% 0.26% 1.25% Banregio 1.79% 1.25% 2.70% 0.49% 1.30% Espiral (6) 3.17% 2.99% 3.50% 0.25% 2.99% Pago Fácil (12) ......,pdf,1,Debito,Descuento Debito Telecomunicaciones.pdf
Transporte aéreo,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7BAB43892D-2BD0-BA44-28D1-C11943271E6F%7D.pdf,Transporte aéreo. Transporte aéreo. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banorte 1.93% 1.53% 2.21% 0.17% 1.90% Afirme 2.22% 1.60% 2.40% 0.31% 2.40% Fiserv (5) 2.77% 2.73% 2.83% 0.05% 2.73% Pago Fácil (11) ......,pdf,1,Credito,Descuento Credito Transporte aéreo.pdf
